artwork,abstract,accuracy,animacy,balance,colorsat,colortemp,complexity,depth,emotion,realism,stroke,symbolism,pc1-concreteness,pc2-energy,pc3-colorrad,saliency_standardized
01Klimt-Beethovenfries,2.2,4.066666667,2.6,3,3.2,1.733333333,4,1.533333333,3.6,1.6,2.6,3.666666667,1.193270068,0.346158392,-0.91368077,1.735529047
02Dali-PersistenceOfMemory,2.4,4.066666667,2.666666667,3.133333333,2.866666667,3.666666667,3.266666667,3.866666667,3.466666667,1.266666667,1.866666667,4.4,0.709629716,1.270381594,0.662389839,-0.884431324
03Klimt-TheVirgin,1.733333333,4.266666667,3.466666667,2.6,4.333333333,2.8,4.6,2.466666667,4,1.533333333,2.933333333,3.866666667,1.286836519,1.461991174,-0.458548987,0.637331736
04Bosch-TheLastJudgement,3.466666667,3.2,4.6,2.466666667,4.066666667,2.666666667,4.533333333,3.8,3.533333333,1.2,2.133333333,4.333333333,0.091318901,2.247118275,-0.56048169,-1.261015236
05Klimt-TheKiss,1.866666667,3.933333333,2.8,2.866666667,3.733333333,2,4.266666667,2.066666667,3.8,1.666666667,3.133333333,4,1.285382781,0.792190416,-0.761810551,0.666407211
06Botticelli-AllegoriadellaPrimavera,3.866666667,2.4,4.266666667,2.6,3.666666667,3.533333333,4.066666667,3.466666667,3.133333333,1.866666667,1.866666667,4.266666667,-0.197287165,1.829103547,0.064281437,-0.144131049
07Monet-nympheas,4.066666667,2.6,1.733333333,2.333333333,2.8,3.8,2.733333333,3.533333333,2.2,4.333333333,3.066666667,1.533333333,-0.396104376,-0.85574368,0.917418918,1.966357169
08Dali-MetamorphosedeNarcisse,2.2,3.733333333,2.733333333,2.933333333,3.333333333,2.6,4.333333333,4.266666667,3.333333333,1.266666667,1.466666667,4.266666667,0.39786589,1.54502818,-0.549481096,-0.407869501
09Leonardo-thelastsupper,4.266666667,2.133333333,4.333333333,2.066666667,3.266666667,3.266666667,3.866666667,3.666666667,3.666666667,2.4,1.4,4.133333333,-0.720708,2.035041415,-0.031295497,-0.425937456
100painting-04,4.533333333,1.666666667,1.8,2.4,3.6,4.666666667,2.466666667,4.133333333,3,4.933333333,1.933333333,1.4,-1.298425175,-0.135787883,0.70402998,0.723820995
101vermeer_milkmaid,4.8,1.466666667,3.933333333,3.333333333,3.2,3.2,2.933333333,3.466666667,2.266666667,4.533333333,1.4,2.4,-1.453812964,0.367067538,-0.160420766,-0.811828718
102Misty_alley_Leonidafremov,3.466666667,3.066666667,3.4,2.933333333,4.066666667,3.8,3.2,4.066666667,3.533333333,3.466666667,3.4,2.466666667,-0.133247678,0.890588657,0.661324677,0.171967898
103red-plum-painting-water,4.733333333,1,1,2.466666667,4,1.6,1.333333333,3.533333333,1.4,4.6,1.2,1.2,-1.705080286,-2.012044339,-2.221346225,-0.982407059
104Strawberries_oil_painting_by_belka10,4.8,1.666666667,1.133333333,1.733333333,4.466666667,1.133333333,2.333333333,3.266666667,1.6,4.866666667,1.333333333,1.333333333,-1.501880742,-1.7185479,-2.791632327,-0.495236274
105Through-the-Country-Fields-Oil-Painting,4.4,2.2,1.933333333,2.666666667,2.733333333,4.133333333,2.066666667,3.866666667,2.333333333,4.533333333,3.2,1.6,-0.676966898,-0.791285425,1.308438136,-0.352417025
106artoutwest_bear_wildlife_animal_art,3.933333333,2.8,2.666666667,2.8,3.133333333,2.466666667,2.333333333,2.466666667,3.4,3.8,4,1.666666667,-0.035434743,-0.621016258,0.215766637,-1.1462844
107day_eleven,2.933333333,3.533333333,2.866666667,2.8,3,4.266666667,1.933333333,2,3.333333333,3.8,3.933333333,2.533333333,0.761432413,-0.384200978,1.650554761,-0.56476401
108sunny_daze,3.733333333,2.933333333,2.066666667,3.133333333,3.666666667,1.533333333,2.466666667,2.4,2.466666667,4.333333333,3.533333333,1.733333333,-0.097179425,-1.335799629,-1.047487679,0.278065789
109shopping_in_chinatown,4.466666667,2.4,3.866666667,2.8,2.8,3.8,2.933333333,4.266666667,2,4.733333333,3.133333333,1.266666667,-0.964739572,-0.016375526,1.270582741,-1.081154973
10korovin-spring,2.933333333,3.4,2.4,2.733333333,3.8,3.933333333,3,3,2.333333333,4,3.733333333,1.666666667,0.421879841,-0.629654428,0.802602636,2.351459435
110waiting_on_a_friend4,4.133333333,2.2,2.533333333,3.866666667,1.6,4.733333333,1.533333333,2.333333333,2.133333333,4.333333333,3.133333333,1.6,-0.226811053,-1.158853027,2.339853431,-1.204675537
111abstract,1.066666667,4.8,3,3.4,2.666666667,4,3,2.133333333,3.4,1.466666667,4.733333333,3.266666667,2.202098329,0.189100521,2.055320625,-1.889095063
112three_sheep,3.933333333,2.8,2.466666667,3.266666667,2.466666667,3.533333333,2.333333333,3.533333333,2.066666667,4.066666667,3.2,1.4,-0.347569444,-0.861028451,1.106128833,-0.294157481
113dancer-tilting,3.933333333,2.733333333,4.4,2.866666667,2.533333333,3.6,2.666666667,3.2,3.866666667,4.266666667,2.666666667,2.2,-0.636144854,0.91724393,1.209789802,-0.442556827
114Degas Dancers pastel 1899,3.666666667,2.8,4.666666667,2.8,2.933333333,2.6,3,3.333333333,3.533333333,4.133333333,3.266666667,2.133333333,-0.501837939,0.773716698,0.509849288,0.164019781
115broadway,1.133333333,4.333333333,2.266666667,2.133333333,4.266666667,1.933333333,3.333333333,1.466666667,1.6,1.733333333,1.6,3.266666667,1.386826626,-0.841686089,-1.781983623,-0.917579896
116harbor_light_sailboat_pastel_painting,4.133333333,2,3.066666667,3.8,3.333333333,4.4,1.933333333,4.066666667,2.6,4.733333333,2.466666667,1.8,-1.004546754,-0.067040339,1.082731909,-0.150147843
117biker_bees_go_home,2.066666667,4.066666667,4.266666667,2.933333333,2.866666667,3.2,3.4,2.133333333,2.2,1.266666667,3.733333333,4.066666667,1.563987972,0.465676846,1.016529465,-0.805784531
118watercolor,1.066666667,4.466666667,3.4,3.066666667,4.066666667,3.8,3.933333333,2,3.266666667,1.333333333,3.933333333,3.8,2.029271066,0.779279451,0.768890958,-0.867042132
119daniel_wright__overcast,3.8,2.666666667,1.8,3,2.333333333,4,2.533333333,2.933333333,2.4,4,3.333333333,1.4,-0.073529199,-0.988652392,1.411753649,-0.363547274
11manet_lemon,4.333333333,2.133333333,1.133333333,2.866666667,2.866666667,2.266666667,1.333333333,2.4,1.2,4.666666667,2.733333333,1.466666667,-0.547165573,-2.463479487,-0.538210305,-0.826289157
120step_by_step,4.266666667,2.733333333,2.733333333,2.2,3.066666667,2.866666667,2.466666667,2.6,3,4.2,2.866666667,1.666666667,-0.450459299,-0.527129299,0.116017178,-0.810002906
121the_benefits_of_painting_what_you_love,4.066666667,2.8,1.266666667,2.4,2.6,3.866666667,2.333333333,2.266666667,1.933333333,4.2,2.466666667,1.8,-0.085541116,-1.455406245,0.697526105,-0.535589484
122acrylic-painting,4.2,2.266666667,1.866666667,3,3.4,3.666666667,2.333333333,4,2.466666667,4.733333333,2.933333333,1.6,-0.782982396,-0.673877955,0.497969855,1.251182679
123Bouquet-iii,3.4,3.133333333,1.666666667,3.133333333,4.133333333,1.933333333,3.133333333,2.533333333,2.6,3.933333333,3.533333333,1.666666667,0.155949593,-1.10010203,-1.08329787,-0.627910434
124dog,4.266666667,2.133333333,1.933333333,2.8,2.066666667,2.6,1.466666667,2.666666667,2.266666667,4.4,3.133333333,1.4,-0.570809072,-1.600511161,0.485464962,-0.686374303
125roadster,4.733333333,1.533333333,2,2.133333333,2.6,3.4,1.8,3,1.6,4.333333333,2,1.6,-1.035752552,-1.335786288,0.275995382,-0.143098355
126picasso-celestine,4.2,1.8,2,2.266666667,2.133333333,4.466666667,1.866666667,2.466666667,3,3.866666667,1.933333333,2.6,-0.517927169,-0.412003674,1.320000059,-1.902513609
127Raphael,4.666666667,1.2,2.2,2.2,2.866666667,2.8,1.733333333,2.266666667,2.466666667,4.866666667,1.666666667,1.6,-1.251300159,-1.154882055,-0.450451156,-0.83798872
128Tsunami_by_hokusai_19th_century,3.6,3.266666667,4.4,3.133333333,2.866666667,3.8,2.533333333,2.733333333,3.466666667,3.4,1.666666667,2.666666667,-0.310077556,0.891400156,0.784085557,-0.385010785
129woodblock2,3.466666667,3.266666667,1.666666667,3.2,1.6,4.066666667,2,3.2,1.8,3.8,2.133333333,1.333333333,-0.140311521,-1.287212594,1.517736951,0.195166781
12VanGogh-StarryNight,2.2,4,3.533333333,3.266666667,3.333333333,4.533333333,3.866666667,3.066666667,3.666666667,2.533333333,3.533333333,3.466666667,1.059186046,1.267978071,1.653195304,-1.264534106
130woodblock1,3.6,3.2,3.866666667,3,2.333333333,4.466666667,2.466666667,3.133333333,2.133333333,3.866666667,2.533333333,2.4,-0.099297649,0.057268845,1.801088539,-0.61254687
131landscape,3.666666667,3,2.2,2,1.6,3.933333333,3.066666667,3.466666667,2.066666667,3.866666667,2.533333333,2.333333333,-0.137748469,-0.412112039,1.588661549,2.363184171
132flowers,2.866666667,3.733333333,2,3,2.133333333,4.066666667,2.133333333,1.533333333,2,2.733333333,3.2,2.133333333,1.043693843,-1.34722424,1.521504752,0.365006087
133eyecandy2,1.133333333,4.733333333,2.533333333,1.933333333,4.066666667,3.6,4.066666667,1.8,2.2,1.266666667,1.066666667,3.266666667,1.483200275,0.17500436,-0.5866331,0.99136355
134DiegoRivera_DreamCenter,3.866666667,2.6,4.066666667,2.4,4.133333333,2.333333333,4.2,3.333333333,3.6,3,2.266666667,3.466666667,-0.430749072,1.481667159,-0.927536285,-0.660664896
135kahlo,4.333333333,1.933333333,2.133333333,2.4,3.133333333,2.133333333,3.466666667,3,1.866666667,3.733333333,1.533333333,2,-0.889143443,-0.651902079,-1.140198923,0.645193025
136ship,4.466666667,1.6,3.733333333,3.066666667,1.933333333,4,2.933333333,4.133333333,3.2,4.6,1.533333333,2,-1.501953976,0.854150147,1.297101331,-0.037187099
137girl,4.133333333,2,2.333333333,2.266666667,3.133333333,2.6,2.466666667,2.866666667,2.733333333,4.266666667,2.933333333,1.733333333,-0.634198327,-0.73837598,-0.174298375,0.013782887
138field,4.533333333,1.6,4.066666667,2.8,2.866666667,3.933333333,2.733333333,4.333333333,2.666666667,4.6,2.266666667,2.266666667,-1.346000767,0.712101628,1.025106736,-0.359418141
139book,1.533333333,4.333333333,1.8,2.733333333,2.266666667,3.466666667,2.866666667,2.466666667,3.2,1.6,1.866666667,3.6,1.22895616,0.068089658,0.679783794,0.85446495
13Raffaello-SposaliziodellaVergine,4.4,1.866666667,3.933333333,2.2,3.866666667,3.066666667,3.333333333,4,3.066666667,3.866666667,1.533333333,3.533333333,-1.148173592,1.273789161,-0.501170371,0.685894277
140abstract,1.333333333,4.8,2.466666667,3.666666667,3.8,4.466666667,2.2,1.466666667,2.4,1.133333333,1.733333333,3.733333333,1.780493169,-0.258414019,0.495870895,-0.226415302
141woman,3.133333333,3.866666667,2.266666667,2.533333333,3.2,2.6,2.266666667,2.133333333,3.066666667,3.266666667,3.266666667,2.133333333,0.552661121,-0.804012762,0.00668523,0.125241661
142girl,4.866666667,1.066666667,2.733333333,2.466666667,2.333333333,3.466666667,1.8,3.466666667,2.666666667,5,1.4,1.933333333,-1.663935833,-0.345378171,0.421175911,-0.249496265
143matisse,3.866666667,3.066666667,2.266666667,2.133333333,4,2.933333333,2.266666667,2.2,3.066666667,4,2,2.066666667,-0.272267977,-0.590119068,-0.747611436,1.105457019
144woman,2.866666667,3.8,2.866666667,2.333333333,1.733333333,4.066666667,2.866666667,2.6,2.066666667,3.6,4.333333333,1.933333333,0.879540988,-0.770233745,2.364690518,0.010150425
145banjo,4.733333333,1.133333333,3.733333333,2.4,2.8,2.533333333,2.266666667,3.066666667,3.4,4.8,1.6,1.933333333,-1.649621795,0.245106353,-0.334256062,-1.583754976
146bridge,4.2,2.133333333,2.133333333,2.8,2.133333333,3.8,2.666666667,4.133333333,1.8,4.4,2.6,1.866666667,-0.792105059,-0.631734196,1.201619183,1.078532217
147flowers,3.466666667,2.866666667,2,3.266666667,2.933333333,3.533333333,2.533333333,2.066666667,2.066666667,4,3.533333333,1.8,0.334440858,-1.291604957,0.756116076,-1.002118055
